 @ Data used in                                                                                  @
 @ Martin Lettau and Sydney Ludvigson "Consumption, Aggregat Wealth and Expected Stock Returns"  @
 @ and                                                                                           @
 @ Martin Lettau and Sydney Ludvigson "Resurrecting the (C)CAPM: A Cross-Sectional Test When 	 @
 @                                     Risk Premia Are Time-Varying" 				 @
 @																								 @
 @ See papers for a detailed description of the data.  Variables are in natural logs.  Missing   @
 @ values are denoted as -99.                                                                    @
 @ date: 9/16/99                                                                                 @
 
 @ ****** IMPORTANT ********                                                                     @ 
 @ The wealth variable is measured at the BEGINNING OF PERIOD, e.g. the observation              @
 @ in 1953Q1 is wealth as of January 1 1953!							 @
 @ This convention is different from the standard timing convention used to compute              @
 @ dividend-price ratios, which uses END OF PERIOD variables.                                    @
 
 @ Quarter consumption c  asset wealth a  labor income y    cay= c-0.3054a-0.5891y               @
 197501  9.3995626873951 10.920293618722 9.2291751356236    0.6278958580162
 197502  9.4120140110569 10.958841267602 9.2742069121860    0.6020478597718
 197503  9.4148124337931 10.993944686671 9.2562222340571    0.6047202895117
 197504  9.4197421407782 10.965646008318 9.2651445535810    0.6130362882775
 197601  9.4339053007256 10.972808535808 9.2815597063569    0.6153422891946
 197602  9.4421571384379 10.998588438783 9.2862606375683    0.6129519203604
 197603  9.4492946554372 11.018650156066 9.2922246263981    0.6104494873594
 197604  9.4593457758656 11.021166370352 9.2945623335325    0.6183550863693
 197701  9.4649360468074 11.029749911248 9.2910743506279    0.6233786917457
 197702  9.4636435625742 11.026512263488 9.3026045022079    0.6162828259229
 197703  9.4690249058641 11.036220236620 9.3152365998386    0.6112581562986
 197704  9.4770885593646 11.036935621181 9.3251639537188    0.6132553697999
 197801  9.4852371246011 11.040179593877 9.3300574773664    0.6175305909893
 197802  9.4932439501086 11.043026011364 9.3388516100897    0.6194877275433
 197803  9.4980946702319 11.058642993663 9.3439376088970    0.6165730912795
 197804  9.5015875281595 11.074742939602 9.3514675238541    0.6107134466133
 197901  9.5086347707019 11.075500869633 9.3532654119581    0.6164701298149
 197902  9.5076764866751 11.093727584998 9.3483255471595    0.6128554916611
 197903  9.5084726064994 11.100743967646 9.3523143048813    0.6091591760121
 197904  9.5143529020492 11.110465522760 9.3517437401385    0.6124066832607
 198001  9.5133072710081 11.113125990442 9.3505593846451    0.6112462396405
 198002  9.5007101884132 11.097678014153 9.3360526086272    0.6119124545983
 198003  9.5018193378660 11.114242032664 9.3448314401225    0.6027916701229
 198004  9.5076478877438 11.133167109267 9.3536100069566    0.5976693914963
 198101  9.5039162447151 11.138160762725 9.3465115602564    0.5965942470169
 198102  9.5077438131941 11.128497279350 9.3415436142104    0.6062994732622
 198103  9.5047776645374 11.135855707503 9.3479221514988    0.5973286688949
 198104  9.5041219336547 11.117371203948 9.3467463191514    0.6030106296693
 198201  9.5042779881790 11.129841625875 9.3421317796545    0.6020766201162
 198202  9.5061067334653 11.124726391870 9.3454734653140    0.6034990147217
 198203  9.5083826050830 11.122647189065 9.3490253270401    0.6043175434611
